"Time [s]","Event Name","Chamber","Event Text","1A: O2 flux per V [pmol/(s*mL)]","1B: O2 flux per V [pmol/(s*mL)]"
2.00,"","","",,
4.00,"","","",,
6.00,"","","",,
8.00,"","","",,
10.00,"","","",2.4113,-0.5217
12.00,"","","",4.4012,0.3716
14.00,"","","",4.9698,1.2650
16.00,"","","",3.2644,1.2649
18.00,"","","",1.2745,0.0741
20.00,"","","",1.7007,0.0742
22.00,"","","",0.9901,0.3721
24.00,"","","",-0.1469,0.2233
26.00,"","","",-1.5682,0.2234
28.00,"","","",-2.1366,0.0746
30.00,"","","",-0.1467,0.0746
32.00,"","","",-0.4310,0.2238
34.00,"","","",-0.5730,0.2240
36.00,"","","",-0.7149,0.2240
38.00,"","","",-0.4305,0.2241
40.00,"","","",0.2801,0.2240
42.00,"","","",0.2801,0.2241
44.00,"","","",0.2802,0.0753
46.00,"","","",0.1380,-0.0737
48.00,"","","",-0.0042,-0.2225
50.00,"","","",0.2801,-0.0736
52.00,"","","",0.2802,-0.2224
54.00,"","","",0.1381,-0.2224
56.00,"","","",0.1382,-0.3712
58.00,"","","",0.1383,-0.5199
60.00,"","","",0.2805,-0.3710
62.00,"","","",0.4227,-0.3709
64.00,"","","",0.4227,-0.5196
66.00,"","","",0.4228,-0.5196
68.00,"","","",0.4227,-0.5195
70.00,"","","",0.4226,-0.5194
72.00,"","","",0.4229,-0.5192
74.00,"","","",0.4230,-0.5193
76.00,"","","",0.4229,-0.5193
78.00,"","","",0.2808,-0.5192
80.00,"","","",0.4228,-0.5192
82.00,"","","",0.2806,-0.5189
84.00,"","","",0.2807,-0.5187
86.00,"","","",0.1386,-0.5186
88.00,"","","",0.1387,-0.5184
90.00,"","","",0.1390,-0.5183
92.00,"","","",0.2813,-0.5184
94.00,"","","",0.2814,-0.5184
96.00,"","","",0.4235,-0.5185
98.00,"","","",0.4236,-0.5183
100.00,"","","",0.5658,-0.5182
102.00,"","","",0.5658,-0.5182
104.00,"","","",0.5658,-0.5180
106.00,"","","",0.5657,-0.5177
108.00,"","","",0.4235,-0.5179
110.00,"","","",0.4235,-0.5178
112.00,"","","",0.2814,-0.5176
114.00,"","","",0.2816,-0.3685
116.00,"","","",0.2817,-0.3682
118.00,"","","",0.4238,-0.2193
120.00,"","","",0.4239,-0.2195
122.00,"","","",0.4240,-0.2196
124.00,"","","",0.4242,-0.2198
126.00,"","","",0.5664,-0.2196
128.00,"","","",0.5663,-0.2196
130.00,"","","",0.4241,-0.2192
132.00,"","","",0.4242,-0.2189
134.00,"","","",0.4242,-0.2189
136.00,"","","",0.4242,-0.2188
138.00,"","","",0.4241,-0.2187
140.00,"","","",0.4241,-0.2185
142.00,"","","",0.4242,-0.0697
144.00,"","","",0.4243,-0.2188
146.00,"","","",0.4244,-0.2189
148.00,"","","",0.4245,-0.2188
150.00,"","","",0.4246,-0.2189
152.00,"","","",0.4247,-0.3675
154.00,"","","",0.4247,-0.3673
156.00,"","","",0.4247,-0.3671
158.00,"","","",0.4246,-0.3670
160.00,"","","",0.4246,-0.3669
162.00,"","","",0.2825,-0.3666
164.00,"","","",0.1405,-0.3664
166.00,"","","",0.1407,-0.3666
168.00,"","","",0.1407,-0.3667
170.00,"","","",0.1406,-0.3667
172.00,"","","",0.1407,-0.3666
174.00,"","","",0.1408,-0.3664
176.00,"","","",0.1410,-0.3666
178.00,"","","",0.2831,-0.3664
180.00,"","","",0.2830,-0.3662
182.00,"","","",0.2831,-0.5149
184.00,"","","",0.2832,-0.5147
186.00,"","","",0.2832,-0.3658
188.00,"","","",0.2831,-0.3657
190.00,"","","",0.2832,-0.3654
192.00,"","","",0.1412,-0.3654
194.00,"","","",0.1413,-0.3654
196.00,"","","",0.1412,-0.2166
198.00,"","","",0.1411,-0.2166
200.00,"","","",0.1413,-0.2166
202.00,"","","",0.1414,-0.2164
204.00,"","","",0.2836,-0.2164
206.00,"","","",0.2836,-0.3651
208.00,"","","",0.2838,-0.3651
210.00,"","","",0.4260,-0.3651
212.00,"","","",0.4260,-0.3651
214.00,"","","",0.4258,-0.3650
216.00,"","","",0.4257,-0.3648
218.00,"","","",0.2836,-0.3645
220.00,"","","",0.2838,-0.2156
222.00,"","","",0.2838,-0.2156
224.00,"","","",0.1418,-0.2154
226.00,"","","",0.1418,-0.2152
228.00,"","","",0.1417,-0.2151
230.00,"","","",0.1417,-0.2151
232.00,"","","",0.1418,-0.2150
234.00,"","","",0.1418,-0.2149
236.00,"","","",-0.0004,-0.2147
238.00,"","","",-0.0003,-0.2146
240.00,"","","",-0.0003,-0.2146
242.00,"","","",-0.1423,-0.2147
244.00,"","","",-0.1422,-0.0655
246.00,"","","",-0.1421,-0.0652
248.00,"","","",-0.1421,-0.0654
250.00,"","","",-0.1421,-0.0657
252.00,"","","",-0.1420,-0.0657
254.00,"","","",-0.1421,-0.0654
256.00,"","","",-0.1421,-0.2141
258.00,"","","",-0.1420,-0.2141
260.00,"","","",-0.1419,-0.2139
262.00,"","","",-0.1417,-0.2138
264.00,"","","",-0.1417,-0.2138
266.00,"","","",0.0005,-0.2137
268.00,"","","",-0.1417,-0.2134
270.00,"","","",-0.1418,-0.0643
272.00,"","","",-0.1416,-0.0643
274.00,"","","",0.0005,-0.0645
276.00,"","","",-0.1417,-0.0644
278.00,"","","",-0.1415,-0.0644
280.00,"","","",-0.1418,-0.0643
282.00,"","","",-0.1414,-0.0642
284.00,"","","",-0.1415,-0.0642
286.00,"","","",-0.1419,-0.0641
288.00,"","","",-0.1419,-0.2128
290.00,"","","",-0.2840,-0.2128
292.00,"","","",-0.2839,-0.2126
294.00,"","","",-0.2839,-0.2125
296.00,"","","",-0.4260,-0.2124
298.00,"","","",-0.4258,-0.2122
300.00,"","","",-0.4255,-0.2119
302.00,"","","",-0.2832,-0.2118
304.00,"","","",-0.2830,-0.2117
306.00,"","","",-0.1408,-0.2115
308.00,"","","",-0.1406,-0.0627
310.00,"","","",0.0015,-0.0628
312.00,"","","",0.0016,-0.0629
314.00,"","","",0.1437,-0.0627
316.00,"","","",0.1437,-0.0625
318.00,"","","",0.2860,-0.0628
320.00,"","","",0.2862,-0.0628
322.00,"","","",0.4286,-0.2114
